model_id,model,n_layers,peak,peak_ci_lo,peak_ci_hi,peak_depth,t50,t50_ci_lo,t50_ci_hi,auc,auc_ci_lo,auc_ci_hi,curve_peak,curve_t50,curve_auc
qwen3.6-35b,Qwen3.6-35B,40,1.82,1.66,2.0,0.875,0.577,0.554,0.602,0.78,0.72,0.85,1.8234,0.57694,0.7787
qwen3.6-27b,Qwen3.6-27B,62,1.82,1.67,1.98,0.8549,0.569,0.546,0.592,0.78,0.72,0.84,1.8163,0.56892,0.78
qwen3-32b,Qwen3-32B,64,1.97,1.83,2.13,0.875,0.602,0.579,0.625,0.79,0.74,0.85,1.9736,0.60236,0.7924
gemma-4-31b,Gemma-4-31B,62,2.35,2.16,2.56,0.871,0.599,0.581,0.617,0.97,0.9,1.05,2.3516,0.59894,0.9657
gemma-3-27b,Gemma-3-27B,62,2.16,1.97,2.37,0.8549,0.578,0.557,0.597,0.93,0.86,1.01,2.1605,0.57817,0.9278
olmo-3.1-32b,OLMo-3.1-32B,64,3.61,3.22,4.06,0.8594,0.556,0.541,0.571,1.6,1.45,1.78,3.6067,0.55559,1.5975
mistral-small-3.2-24b,Mistral-Small-3.2-24B,40,0.94,0.85,1.04,0.9,0.586,0.551,0.622,0.4,0.37,0.44,0.9418,0.58573,0.3976
