model_id,model,draws,peak_point,peak_q025,peak_median,peak_q975,t50_point,t50_q025,t50_median,t50_q975,auc_point,auc_q025,auc_median,auc_q975
qwen3.6-35b,Qwen3.6-35B,4000,1.82,1.66000000,1.81999994,2.00000000,0.577,0.55400000,0.57700025,0.60200000,0.78,0.72000000,0.78000081,0.85000000
qwen3.6-27b,Qwen3.6-27B,4000,1.82,1.67000000,1.82000092,1.98000000,0.569,0.54600000,0.56900007,0.59200000,0.78,0.72000000,0.78000002,0.84000000
qwen3-32b,Qwen3-32B,4000,1.97,1.83000000,1.96999996,2.13000000,0.602,0.57900000,0.60199988,0.62500000,0.79,0.74000000,0.79000051,0.85000000
gemma-4-31b,Gemma-4-31B,4000,2.35,2.16000000,2.35000031,2.56000000,0.599,0.58100000,0.59900005,0.61700000,0.97,0.90000000,0.97000001,1.05000000
gemma-3-27b,Gemma-3-27B,4000,2.16,1.97000000,2.16000007,2.37000000,0.578,0.55700000,0.57799981,0.59700000,0.93,0.86000000,0.93000130,1.01000000
olmo-3.1-32b,OLMo-3.1-32B,4000,3.61,3.22000000,3.61000189,4.06000000,0.556,0.54100000,0.55599951,0.57100000,1.6,1.45000000,1.60000076,1.78000000
mistral-small-3.2-24b,Mistral-Small-3.2-24B,4000,0.94,0.85000000,0.93999986,1.04000000,0.586,0.55100000,0.58600011,0.62200000,0.4,0.37000000,0.40000031,0.44000000
