model_id,model_name,repository_id,model_revision,tokenizer_revision,model_family,backend,precision,trust_remote_code,chat_template,chat_template_sha256,tokenizer_config_sha256,model_snapshot_manifest_sha256,selected_layer,n_layers,do_sample,temperature,top_p,top_k,max_new_tokens,seed,fixed_seed,tool_execution_allowed,generation_config_sha256
qwen3.6-35b,Qwen3.6-35B,Qwen/Qwen3.6-35B-A3B,995ad96eacd98c81ed38be0c5b274b04031597b0,995ad96eacd98c81ed38be0c5b274b04031597b0,qwen,local_huggingface,bf16,false,tokenizer_default,e84f32a23fdda27689f868aa4a1a5621f41133e51a48d7f3efcbea2839574259,5186f0defcd7f232382c7f0aebcd2252d073bb921ab240e407b7ae8745d2b29b,a58aff6df3cff9c1c1c92aeac9a254d84c8758a02b219495f4b2f8dad0c3da3c,40,64,true,0.5,1.0,20,256,,false,false,5700f6d19901a16d922febd6847c917cf1419e548dd80bb4b9c9a1f9489fdb48
qwen3.6-27b,Qwen3.6-27B,Qwen/Qwen3.6-27B,cea40373b9214dd387123e68841890af30dcd469,cea40373b9214dd387123e68841890af30dcd469,qwen,local_huggingface,bf16,true,tokenizer_default,e84f32a23fdda27689f868aa4a1a5621f41133e51a48d7f3efcbea2839574259,5186f0defcd7f232382c7f0aebcd2252d073bb921ab240e407b7ae8745d2b29b,014ac296a2418b67d1c94c4a8dde1f42ff52824241ea7fa5e533c3f369be551b,38,62,true,0.5,0.95,20,256,,false,false,30a7c159c97675147a3f18bf862a7934592d6ef42e6db93508056e4da7cdd97b
qwen3-32b,Qwen3-32B,Qwen/Qwen3-32B,paper-aligned-complete-v1,paper-aligned-complete-v1,qwen,local_huggingface,bf16,false,tokenizer_default,9a7ec0ddbbba962544286f9afad6f5b1b36a73f0fbaf089a3bf3d2f2352f3a4c,751c2c4a25995d9368c6035b71a65fb93aa779d92e6c08fdb27ebd8cb9e96252,feef0d6750a91ea9a96f09894d92af52f693a482fed916d271969468cf46bcc3,40,64,true,0.5,0.95,20,256,,false,false,30a7c159c97675147a3f18bf862a7934592d6ef42e6db93508056e4da7cdd97b
gemma-4-31b,Gemma-4-31B,google/gemma-4-31b-it,paper-aligned-complete-v1,paper-aligned-complete-v1,gemma,local_huggingface,bf16,false,tokenizer_default,f13e1c153dbe866fc1ad67bb76ae78aeffbd5afa440767b6205bef26f7aba9ab,cb884334f84b850ac0486300ef87eb29f543a4f755405b2758b13ce6ce5d49dd,4d095dd3184a1a2bf60baf093b432f934d4a87d29070caee3e9313187b9d3c96,38,62,true,0.5,0.95,64,256,,false,false,0facf0e0e08cda3747fe180fcf9ee2dd2d2d0bf434f4634f11524bd01da99066
gemma-3-27b,Gemma-3-27B,google/gemma-3-27b-it,paper-aligned-complete-v1,paper-aligned-complete-v1,gemma,local_huggingface,bf16,false,tokenizer_default,f13e1c153dbe866fc1ad67bb76ae78aeffbd5afa440767b6205bef26f7aba9ab,07a2636e86d86967109402e6158637c1b70eab1039c6dff81a9f511b2bec25b0,78c19bf954a61182d010b4a0b7f88d65c2615762a10d4e5ab0b173f0f54605b2,38,62,true,0.5,0.95,64,256,,false,false,0facf0e0e08cda3747fe180fcf9ee2dd2d2d0bf434f4634f11524bd01da99066
olmo-3.1-32b,OLMo-3.1-32B,allenai/Olmo-3.1-32B-Instruct,ac0587e4a7744a551c059d8cd17ba220bc940dae,ac0587e4a7744a551c059d8cd17ba220bc940dae,olmo,local_huggingface,bf16,false,tokenizer_default,49a944c9814e130bd3cc80a2420c55ff22e24a4e4ba97009aa60000909b5eac3,80fbc2a161419760bb8a84ed1d3b9550a2d68b7abd07a72706b8f5977e044b8d,18bca950bdcdd5038600e4d0c08c1529ac77f197c61c80effd2657d97191c7b4,40,64,true,0.5,1.0,,256,,false,false,4a20c1c717d07f7ceda5ab66f0a45f63c7e776f33a9f6934b7c38fdb3f9a918d
mistral-small-3.2-24b,Mistral-Small-3.2-24B,mistralai/Mistral-Small-3.2-24B-Instruct-2506,95a6d26c4bfb886c58daf9d3f7332c857cb27b43,95a6d26c4bfb886c58daf9d3f7332c857cb27b43,mistral,local_huggingface,bf16,false,mistral_common_encode_chat_completion,,,c50993441a3da9c1ebef760e527ffdbdf117e7020c263e59c31482eb4baf7fd5,25,40,true,0.5,1.0,,256,,false,false,4a20c1c717d07f7ceda5ab66f0a45f63c7e776f33a9f6934b7c38fdb3f9a918d
